Attribute ID,Label Type,Street ID,OSM Street ID,Neighborhood 1me,Attribute Latitude,Attribute Longitude,Avg Image Capture Date,Avg Label Date,Severity,Agree Count,Disagree Count,Unsure Count,Cluster Size,User IDs
123568052,CurbRamp,2165,6371699,"Atlantic",47.59671,-122.31169,2020-08-23T12:00Z,2022-03-30T12:03:18.500400Z,1,3,0,1,4,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,8b9c4528-e76a-4d19-997c-4e46704ca936,497e70b2-19f6-4f12-8fff-4141a9033888,475f6bf0-5361-433f-8716-e7bcf184dee7,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568053,CurbRamp,2165,6371699,"Atlantic",47.596622,-122.31168,2022-04-17T00:00Z,2025-01-28T09:12:46.690Z,1,0,0,0,2,"[497e70b2-19f6-4f12-8fff-4141a9033888,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568057,CurbRamp,2162,6371699,"Atlantic",47.596626,-122.31155,2020-06-15T12:00Z,2023-07-25T14:44:52.699667Z,1,3,0,0,2,"[8b9c4528-e76a-4d19-997c-4e46704ca936,497e70b2-19f6-4f12-8fff-4141a9033888,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568058,CurbRamp,19902,263712957,"Atlantic",47.59744,-122.31258,2020-08-21T00:00Z,2022-09-14T05:29:34.200667Z,1,1,0,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,c74affdb-42a2-400d-a674-153cf7c54eb9,435309a9-9476-4335-ade9-08bcdd4b922b]"
123568059,CurbRamp,19902,263712957,"Atlantic",47.597515,-122.31262,2020-05-01T06:00Z,2022-04-14T21:04:33.224250Z,1,4,0,0,4,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,c74affdb-42a2-400d-a674-153cf7c54eb9,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,435309a9-9476-4335-ade9-08bcdd4b922b]"
123568060,CurbRamp,9937,6510286,"Atlantic",47.59741,-122.312584,2019-07-01T12:00Z,2021-05-25T20:05:14.069Z,2,3,0,0,2,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,435309a9-9476-4335-ade9-08bcdd4b922b]"
123568061,CurbRamp,19902,263712957,"Atlantic",47.59748,-122.312584,2023-02-01T00:00Z,2025-04-24T00:18:29.451500Z,1,0,0,0,1,"[c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568062,CurbRamp,19904,263712957,"Atlantic",47.597557,-122.311516,2018-12-11T00:00Z,2022-10-04T06:42:59.841333Z,2,2,0,0,3,"[9a30e15b-c0bb-4e11-b801-bbab5da9c789,c74affdb-42a2-400d-a674-153cf7c54eb9,12d3f3e7-1635-41ee-84e5-28f4130828d5]"
123568064,CurbRamp,19902,263712957,"Atlantic",47.597546,-122.31169,2021-04-01T12:00Z,2023-03-04T22:06:35.924Z,2,1,0,0,2,"[c74affdb-42a2-400d-a674-153cf7c54eb9,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
123568065,CurbRamp,19902,263712957,"Atlantic",47.597435,-122.31169,2018-12-21T08:00Z,2022-10-04T06:43:05.714667Z,2,2,0,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,9a30e15b-c0bb-4e11-b801-bbab5da9c789,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568066,CurbRamp,9729,6506833,"Atlantic",47.597427,-122.31154,2019-11-25T00:00Z,2022-11-09T03:20:54.133600Z,2,2,0,0,5,"[9a30e15b-c0bb-4e11-b801-bbab5da9c789,12d3f3e7-1635-41ee-84e5-28f4130828d5,c74affdb-42a2-400d-a674-153cf7c54eb9,497e70b2-19f6-4f12-8fff-4141a9033888,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
123568067,CurbRamp,19898,263712791,"Atlantic",47.59828,-122.313225,2020-05-01T00:00Z,2022-07-01T17:44:57.115667Z,1,7,0,0,4,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,435309a9-9476-4335-ade9-08bcdd4b922b,c74affdb-42a2-400d-a674-153cf7c54eb9,60dd2a70-16cc-4023-88eb-f95791ba08a5]"
123568068,CurbRamp,19898,263712791,"Atlantic",47.598362,-122.31332,2020-07-31T08:00Z,2023-05-10T04:31:10.926Z,1,4,0,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,435309a9-9476-4335-ade9-08bcdd4b922b,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568069,CurbRamp,21439,347092907,"Atlantic",47.599415,-122.314255,2018-12-15T12:00Z,2019-12-06T20:44:52.177Z,2,3,0,0,2,"[56e355be-1e8b-4460-b105-066ba767495b,8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568070,CurbRamp,21439,347092907,"Atlantic",47.599342,-122.31424,2023-02-01T00:00Z,2024-08-01T20:25:39.317Z,1,0,0,0,1,"[24e0a596-2733-44c3-b7af-0cea29097309]"
123568071,CurbRamp,2750,6384250,"Atlantic",47.599937,-122.31427,2018-05-01T00:00Z,2019-05-10T01:11:47.246Z,2,1,0,0,1,"[a5e38991-dc2f-44df-9968-d63a2916e413]"
123568072,CurbRamp,3863,6405076,"Atlantic",47.59966,-122.314384,2019-06-01T00:00Z,2020-06-20T10:02:30.104Z,1,0,0,0,1,"[ec15a589-dd14-4513-a43e-8c06e55f4c71]"
123568073,CurbRamp,20729,332223494,"Atlantic",47.59929,-122.31166,2019-12-01T00:00Z,2021-12-18T00:27:46.755667Z,1,2,0,0,3,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,c74affdb-42a2-400d-a674-153cf7c54eb9,a5e38991-dc2f-44df-9968-d63a2916e413]"
123568074,CurbRamp,20729,332223494,"Atlantic",47.599285,-122.31397,2019-10-24T00:00Z,2021-05-27T11:47:52.318Z,1,3,0,0,4,"[56e355be-1e8b-4460-b105-066ba767495b,12d3f3e7-1635-41ee-84e5-28f4130828d5,24e0a596-2733-44c3-b7af-0cea29097309,ec15a589-dd14-4513-a43e-8c06e55f4c71]"
123568075,CurbRamp,3863,6405076,"Atlantic",47.599384,-122.31409,2019-05-01T00:00Z,2020-07-15T01:40:19.175Z,2,1,0,0,1,"[8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568076,CurbRamp,9728,6506833,"Atlantic",47.599323,-122.31152,2019-12-01T00:00Z,2021-12-19T00:43:50.339333Z,1,2,0,0,3,"[a5e38991-dc2f-44df-9968-d63a2916e413,12d3f3e7-1635-41ee-84e5-28f4130828d5,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568077,CurbRamp,3863,6405076,"Atlantic",47.59933,-122.31406,2019-02-09T08:00Z,2020-05-12T05:50:31.389666Z,2,3,0,0,3,"[56e355be-1e8b-4460-b105-066ba767495b,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568078,CurbRamp,20729,332223494,"Atlantic",47.599133,-122.313866,2020-08-16T00:00Z,2023-01-29T06:28:29.581500Z,2,1,0,0,2,"[24e0a596-2733-44c3-b7af-0cea29097309,435309a9-9476-4335-ade9-08bcdd4b922b]"
123568079,CurbRamp,9725,6506833,"Atlantic",47.599186,-122.31162,2020-01-31T00:00Z,2022-05-02T00:41:57.923Z,2,1,0,0,2,"[c74affdb-42a2-400d-a674-153cf7c54eb9,a5e38991-dc2f-44df-9968-d63a2916e413]"
123568080,CurbRamp,20729,332223494,"Atlantic",47.59915,-122.3117,2019-08-01T00:00Z,2021-03-24T12:22:54.225Z,1,3,0,0,2,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,12d3f3e7-1635-41ee-84e5-28f4130828d5]"
123568081,CurbRamp,24233,428247254,"Inter1tio1l District",47.59909,-122.313896,2018-12-31T00:00Z,2020-06-12T16:07:30.626Z,2,2,0,0,2,"[56e355be-1e8b-4460-b105-066ba767495b,435309a9-9476-4335-ade9-08bcdd4b922b]"
123568082,CurbRamp,3863,6405076,"Atlantic",47.599392,-122.314125,2019-05-01T00:00Z,2020-07-15T01:40:23.148Z,1,0,0,0,1,"[8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568084,CurbRamp,12454,22760519,"Atlantic",47.599155,-122.311516,2021-07-01T00:00Z,2025-04-24T00:14:33.653Z,1,0,0,0,1,"[c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568087,CurbRamp,19896,263712791,"Atlantic",47.59828,-122.31148,2020-12-08T00:00Z,2022-10-03T04:29:35.941400Z,1,6,0,0,4,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,5f876ffb-90f5-4b1b-a9ba-68df39043c15,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568092,CurbRamp,9731,6506833,"Atlantic",47.598244,-122.31153,2020-07-16T00:00Z,2023-04-07T01:30:10.025500Z,1,1,0,0,2,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568093,CurbRamp,19896,263712791,"Atlantic",47.59838,-122.311485,2021-05-22T00:00Z,2023-10-11T07:07:52.534Z,1,3,0,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,5f876ffb-90f5-4b1b-a9ba-68df39043c15,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568096,CurbRamp,9730,6506833,"Atlantic",47.598396,-122.31154,2019-12-01T00:00Z,2022-02-10T01:00:39.318400Z,1,6,0,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,c74affdb-42a2-400d-a674-153cf7c54eb9,a5e38991-dc2f-44df-9968-d63a2916e413]"
123568097,CurbRamp,19898,263712791,"Atlantic",47.59827,-122.31169,2019-12-31T00:00Z,2022-06-20T15:17:32.708500Z,1,6,0,0,4,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,12d3f3e7-1635-41ee-84e5-28f4130828d5,5f876ffb-90f5-4b1b-a9ba-68df39043c15,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568098,CurbRamp,2750,6384250,"Atlantic",47.600082,-122.31583,2018-06-16T00:00Z,2019-12-12T01:18:41.573Z,2,2,0,0,2,"[a5e38991-dc2f-44df-9968-d63a2916e413,8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568099,CurbRamp,21447,347092913,"Atlantic",47.599308,-122.31707,2019-02-19T16:00Z,2020-06-15T15:51:50.404333Z,1,2,0,0,3,"[435309a9-9476-4335-ade9-08bcdd4b922b,197eefd6-6ee2-4797-8596-a59ae40d288c,ec15a589-dd14-4513-a43e-8c06e55f4c71]"
123568100,CurbRamp,21447,347092913,"Atlantic",47.59926,-122.317116,2019-06-01T00:00Z,2021-08-25T22:12:15.640Z,1,1,0,0,1,"[46bcaa7c-c94d-4dd5-9886-d21f86543f28]"
123568101,CurbRamp,19898,263712791,"Atlantic",47.598274,-122.31168,2020-07-16T00:00Z,2023-04-08T12:26:38.784Z,1,1,0,0,2,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568102,CurbRamp,19898,263712791,"Atlantic",47.59836,-122.311676,2020-05-31T00:00Z,2023-03-05T10:51:41.004500Z,1,1,0,0,2,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568103,CurbRamp,20729,332223494,"Atlantic",47.599113,-122.31384,2019-10-24T00:00Z,2021-09-05T01:25:54.005250Z,3,1,0,0,4,"[56e355be-1e8b-4460-b105-066ba767495b,435309a9-9476-4335-ade9-08bcdd4b922b,24e0a596-2733-44c3-b7af-0cea29097309,12d3f3e7-1635-41ee-84e5-28f4130828d5]"
123568104,CurbRamp,21451,347092915,"Atlantic",47.59998,-122.31407,2019-05-01T00:00Z,2020-07-15T01:39:33.764Z,2,0,0,1,1,"[8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568105,CurbRamp,21451,347092915,"Atlantic",47.6,-122.31397,2018-09-01T00:00Z,2019-05-10T01:11:28.402Z,2,1,0,0,1,"[a5e38991-dc2f-44df-9968-d63a2916e413]"
123568106,CurbRamp,19898,263712791,"Atlantic",47.598396,-122.31167,2020-09-15T12:00Z,2022-09-02T11:48:47.311Z,1,5,0,0,4,"[5f876ffb-90f5-4b1b-a9ba-68df39043c15,12d3f3e7-1635-41ee-84e5-28f4130828d5,c74affdb-42a2-400d-a674-153cf7c54eb9,a5e38991-dc2f-44df-9968-d63a2916e413]"
123568259,CurbRamp,3865,6405076,"Atlantic",47.601612,-122.31406,2021-05-16T12:00Z,2023-08-08T10:15:20.486333Z,1,2,0,0,6,"[41137e8a-86c3-4527-96e0-b60aaff2088b,c74affdb-42a2-400d-a674-153cf7c54eb9,12d3f3e7-1635-41ee-84e5-28f4130828d5,24e0a596-2733-44c3-b7af-0cea29097309]"
123568260,CurbRamp,2750,6384250,"Atlantic",47.600094,-122.31591,2018-06-16T00:00Z,2020-02-15T10:33:23.285667Z,2,3,0,0,2,"[a5e38991-dc2f-44df-9968-d63a2916e413,135b1c8c-ba4f-446b-a335-54673db39ca4,8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568261,CurbRamp,21447,347092913,"Atlantic",47.5993,-122.317116,2019-03-17T00:00Z,2020-11-24T08:44:46.391Z,1,3,0,0,4,"[46bcaa7c-c94d-4dd5-9886-d21f86543f28,435309a9-9476-4335-ade9-08bcdd4b922b,197eefd6-6ee2-4797-8596-a59ae40d288c,7dc864d8-9ce3-4770-9d53-067414a26952]"
123568262,CurbRamp,3864,6405076,"Atlantic",47.600082,-122.31405,2018-12-31T00:00Z,2019-12-12T01:25:27.286500Z,2,1,0,0,2,"[8b9c4528-e76a-4d19-997c-4e46704ca936,a5e38991-dc2f-44df-9968-d63a2916e413]"
123568263,CurbRamp,19416,256996971,"Atlantic",47.601616,-122.314,2022-05-17T00:00Z,2023-11-27T16:24:41.227Z,1,1,0,0,4,"[c74affdb-42a2-400d-a674-153cf7c54eb9,12d3f3e7-1635-41ee-84e5-28f4130828d5,24e0a596-2733-44c3-b7af-0cea29097309]"
123568264,CurbRamp,21442,347092910,"Atlantic",47.60161,-122.31423,2023-09-16T12:00Z,2024-12-21T23:12:13.690500Z,1,0,0,0,2,"[c74affdb-42a2-400d-a674-153cf7c54eb9,24e0a596-2733-44c3-b7af-0cea29097309]"
123568265,CurbRamp,3864,6405076,"Atlantic",47.6001,-122.31408,2019-05-01T00:00Z,2020-07-15T01:39:15.053Z,2,1,0,0,1,"[8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568266,CurbRamp,2750,6384250,"Atlantic",47.600082,-122.3143,2018-05-01T00:00Z,2019-05-10T01:11:53.896Z,2,1,0,0,1,"[a5e38991-dc2f-44df-9968-d63a2916e413]"
123568267,CurbRamp,21442,347092910,"Atlantic",47.601578,-122.31429,2021-02-09T00:00Z,2023-09-04T07:54:01.237667Z,1,1,0,0,3,"[24e0a596-2733-44c3-b7af-0cea29097309,c74affdb-42a2-400d-a674-153cf7c54eb9,12d3f3e7-1635-41ee-84e5-28f4130828d5]"
123568268,CurbRamp,3864,6405076,"Atlantic",47.600136,-122.31417,2019-05-01T00:00Z,2020-07-15T01:39:09.086Z,2,1,0,1,1,"[8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568269,CurbRamp,2750,6384250,"Atlantic",47.60009,-122.31426,2018-05-01T00:00Z,2019-05-10T01:11:59.260500Z,2,0,0,0,1,"[a5e38991-dc2f-44df-9968-d63a2916e413]"
123568270,CurbRamp,21442,347092910,"Atlantic",47.60161,-122.31419,2020-06-30T16:00Z,2023-06-21T04:59:33.310Z,1,1,0,0,3,"[24e0a596-2733-44c3-b7af-0cea29097309,12d3f3e7-1635-41ee-84e5-28f4130828d5]"
123568271,CurbRamp,21442,347092910,"Atlantic",47.60165,-122.31444,2024-09-01T00:00Z,2025-05-08T04:37:14.445Z,1,0,0,0,1,"[c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568272,CurbRamp,21449,347092914,"Atlantic",47.60011,-122.317085,2018-01-15T00:00Z,2019-04-24T01:35:33.523500Z,1,2,0,0,2,"[197eefd6-6ee2-4797-8596-a59ae40d288c,7c8d6857-9481-4bed-83f6-0b0b0377fb6f]"
123568273,CurbRamp,20720,332223487,"Atlantic",47.600655,-122.316895,2018-10-30T12:00Z,2020-07-02T01:22:06.480Z,2,0,0,1,2,"[a5e38991-dc2f-44df-9968-d63a2916e413,46bcaa7c-c94d-4dd5-9886-d21f86543f28]"
123568274,CurbRamp,21447,347092913,"Atlantic",47.599293,-122.316,2019-06-01T00:00Z,2021-07-27T16:30:02.416Z,1,0,0,0,1,"[435309a9-9476-4335-ade9-08bcdd4b922b]"
123568275,CurbRamp,20721,332223488,"Atlantic",47.599884,-122.315865,2019-05-01T00:00Z,2020-07-15T01:41:45.579500Z,2,2,0,0,1,"[8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568276,CurbRamp,19896,263712791,"Atlantic",47.598267,-122.3115,2019-03-01T16:00Z,2020-08-06T09:37:27.100333Z,1,4,1,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,a5e38991-dc2f-44df-9968-d63a2916e413]"
123568277,CurbRamp,21442,347092910,"Atlantic",47.601635,-122.31424,2021-01-14T12:00Z,2024-08-03T11:28:28.398Z,1,1,0,0,2,"[24e0a596-2733-44c3-b7af-0cea29097309]"
123568278,CurbRamp,21442,347092910,"Atlantic",47.60163,-122.314384,2024-09-01T00:00Z,2025-05-08T04:37:12.012Z,1,0,0,0,1,"[c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568279,CurbRamp,21449,347092914,"Atlantic",47.599953,-122.317085,2018-09-15T06:00Z,2020-03-14T19:05:28.717750Z,1,5,0,0,4,"[197eefd6-6ee2-4797-8596-a59ae40d288c,7c8d6857-9481-4bed-83f6-0b0b0377fb6f,8b9c4528-e76a-4d19-997c-4e46704ca936,46bcaa7c-c94d-4dd5-9886-d21f86543f28]"
123568280,CurbRamp,27220,622519661,"Yesler Terrace",47.599667,-122.31698,2019-06-01T00:00Z,2020-06-20T09:57:21.079Z,1,2,0,0,1,"[ec15a589-dd14-4513-a43e-8c06e55f4c71]"
123568281,CurbRamp,3865,6405076,"Atlantic",47.600918,-122.31427,2020-06-20T08:00Z,2022-02-12T23:18:57.179667Z,1,2,0,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,24e0a596-2733-44c3-b7af-0cea29097309,8b9c4528-e76a-4d19-997c-4e46704ca936]"
