ImageID,Latitude,Longitude,PanoID,Date,Walkability Score,Image Name,Elevation
image_47,47.598656,-122.3302338,JuIL0XsnulrrJOMZG1siXw,2021-07,1.70253354,image_47,13
image_48,47.6167843,-122.3264518,E-QgqiUZgvOXPLgslNQKkA,2019-05,1.01601269,image_48,74
image_49,47.6231785,-122.3252324,NwO82u3wynIIr8Q8wWbgPg,2021-12,0.65410314,image_49,83
image_50,47.6027431,-122.3399379,CAoSLEFGMVFpcE1jUE9YZG5lSTZUZXVILXZOY1lWU0FDUU9nNXBNdjM0Q2hDQjJG,2016-04,2.16063392,image_50,-32768
image_51,47.6128339,-122.32387,FZ4DY9X5dxMrVl-gwJfdOw,2021-11,1.81380839,image_51,107
image_52,47.5991779,-122.3239244,R1FrhzXDQPWhZX9rU8tv8w,2021-12,2.26721527,image_52,32
image_53,47.6129514,-122.320631,jZCohGrg2QvqmklXdwn0AA,2022-10,0.89791437,image_53,97
image_54,47.6093131,-122.3210411,DAOLCF3z-XUiDL4khIGLyA,2021-11,0.72200165,image_54,126
image_55,47.6180593,-122.3208446,LYF9xjvhvrtsB77wo4pXfA,2022-10,1.14883625,image_55,104
image_56,47.6049686,-122.3253206,lgzA4C9iXLDnuTgWjywKtQ,2017-07,1.72510712,image_56,90
image_57,47.6197225,-122.3542631,c4xm5wYb8TYLYDVzaMkgOg,2021-12,1.63943784,image_57,25
image_58,47.617272,-122.3187272,5uFsSvbrLki6qoN9jntB0g,2017-09,3.31170382,image_58,98
image_59,47.6032556,-122.328945,hdXw9-88pDeRGudHNIZeiA,2021-12,2.40401809,image_59,51
image_60,47.6099554,-122.3258302,-8fSScDIIpG1DRDLe5wKTA,2021-07,1.41016903,image_60,103
image_61,47.6171377,-122.3267787,4IGXiEuFS2v5xQxcgo-C2w,2023-05,2.09095836,image_61,67
image_62,47.6163818,-122.3256645,whSshcr3HNEEco_FDNOeTA,2022-11,1.6168882,image_62,80
image_63,47.6106536,-122.3204735,OR3YVX5J49qMeWaCZ7Hiww,2022-11,2.76616673,image_63,110
image_64,47.6008145,-122.3360604,oGMbhuIAtdEX5auMcHRPLA,2022-09,0.35854885,image_64,6
image_65,47.6095734,-122.3428294,CAoSLEFGMVFpcE5oT3RDWjdwZkd2alBhSzgydE04SzJ6MmRjLVpuazNHSU5wUFRV,2018-07,3.06821759,image_65,16
image_66,47.600137,-122.327563,OFnvzIH0UskYgsot-MB0Uw,2021-07,1.85061747,image_66,20
image_67,47.6171603,-122.337045,h39Q8-ANI7ZLv2ogZsQQuw,2021-12,1.95057939,image_67,27
image_68,47.6055844,-122.3341313,td9LReSMc3Ha75MPAie_iA,2021-12,0.0519506,image_68,42
image_69,47.6125662,-122.3219946,Ex4iKr5PfkoHJJmBTRKk1w,2021-07,2.40528878,image_69,103
image_70,47.6150992,-122.3513911,PmRFh2kKle9JEo_BLV2wzA,2021-07,1.45749436,image_70,20
image_71,47.6187402,-122.357844,29Bn7hSj_B3yFTFK8UvJQg,2021-12,2.50898039,image_71,10
image_72,47.6129313,-122.3267943,5IMrkIf4dJmg2SwNh-ypzw,2021-12,3.00554475,image_72,88
image_73,47.5982035,-122.3305582,AoGOHuMVHJbX7F3AdwXhnw,2022-09,0.0821466,image_73,3
image_74,47.5974755,-122.3288679,IyoYTvqq2Vm69Eid1iSPlw,2022-09,1.37286944,image_74,13
image_75,47.6076231,-122.3219779,TBmpBh-JXCf6Yhths4_z2A,2021-07,2.17111104,image_75,112
image_76,47.614412,-122.3329944,wdK1BnGi2srbVRj7oRnvHg,2021-12,-0.3882006,image_76,59
image_77,47.6000632,-122.334836,5WHkLxO9yT7_eT6UBLxpLw,2019-05,0.72765465,image_77,14
image_78,47.6076624,-122.3393277,AxJ-w0KfZ-zlWcZFeWm6lA,2021-07,2.42418634,image_78,26
image_79,47.6020941,-122.3325078,NMuWBnWs062EFE23JyuBAg,2021-12,0.97908096,image_79,20
image_80,47.6001337,-122.3302816,6Udg7I4z4JOKC8qLaHqyTQ,2021-07,1.89259532,image_80,10
image_81,47.6226806,-122.3310783,lY3ebcD60WQZUVrv6pt6yA,2021-07,2.39794462,image_81,34
image_82,47.6040416,-122.3295281,r9XhXnGg2cQ2-i5_iW2liw,2021-12,2.04426816,image_82,51
image_83,47.6135227,-122.3291232,ScDbS0VuSgqUG4MIw_KvGQ,2022-11,2.4221399,image_83,74
image_84,47.6104943,-122.324756,kMZiaCbnThhLL9i-BzXMeQ,2021-07,1.21376191,image_84,107
image_85,47.5991999,-122.3236428,Qb0n04hDbSOJe9E97Ef5QA,2023-02,2.54849205,image_85,32
image_86,47.6051384,-122.3181847,LC7T51w8-oAiyuTXCHdmcA,2019-05,1.71645675,image_86,88
image_87,47.6183945,-122.3266873,2cZUtOspfkuKxVz9Cy2XUA,2021-07,1.49890145,image_87,66
image_88,47.6000615,-122.3328049,CAoSLEFGMVFpcE83NzhacHUzTVpBOXhlTExYZnIyOVdFN1c5Nlc5Q3V3cTNvUkYt,2018-06,2.49494862,image_88,16
image_89,47.6176724,-122.3261897,fuDeVsiDd-NOX2JJ9lAg3w,2021-07,0.91394284,image_89,73
image_90,47.6057508,-122.3217182,d2dpOeT4-9lcDobSjpTpjg,2023-02,2.41276431,image_90,104
image_91,47.6209645,-122.3518859,Yu541zIVz21HHlskkZxR4w,2022-09,2.01547653,image_91,47
image_92,47.6132798,-122.3421972,2AQ-TIrNL1qo9wPCgZ-nJg,2021-12,-0.04764996,image_92,51
image_93,47.6168483,-122.3383253,Lm4fAJH2XmDksZn1Tk3qqQ,2021-07,2.46443282,image_93,26
image_94,47.6043982,-122.3182282,tjUTNwIe0FlKilmEqDsHKw,2019-05,1.20114282,image_94,87
image_95,47.6152346,-122.3379884,43r9BxU9wmYa1TUtfu13iA,2021-12,2.27716803,image_95,38
image_96,47.6194327,-122.3292727,u_RfIaPqH4jq71T1hYbrpA,2021-11,3.15861702,image_96,46
image_97,47.6027246,-122.3243254,vgcXqsWVdfMXHVYKQ3bbcg,2019-05,3.67148542,image_97,75
image_98,47.6189815,-122.3501865,NhEvwMOm91Il1ravuGn-Nw,2022-09,3.36599573,image_98,35
image_99,47.6181845,-122.3185734,PtxcJkRAlUr-t8gGryjs7g,2017-09,3.76545997,image_99,97
image_100,47.6075916,-122.3267661,embUuYlKp8YA-ME55_6sow,2021-12,2.17045492,image_100,86
image_101,47.6009749,-122.319534,jZTV2BIx8szz5Mh1ytNTkg,2023-02,2.35077221,image_101,72
image_102,47.5991992,-122.3217917,K6zJBU2Yfo4QoZDSEu7hHA,2023-02,1.14983899,image_102,39
image_103,47.6105533,-122.3325485,Vl_FGMvQUUg1JVI--rz9Gw,2021-07,2.06233203,image_103,56
image_104,47.6116968,-122.33343,SZR6Ei4mn6OCbRKlr3kl0g,2021-07,2.07250717,image_104,58
image_105,47.6048543,-122.3242867,SXwCkRQZruNCN9GJ-5kKVg,2021-07,3.08717079,image_105,105
image_106,47.6039061,-122.3332294,LnkO4jIvFzu3q2wOZPSrLA,2019-06,2.4496432,image_106,36
image_107,47.6001172,-122.3309663,CAoSLEFGMVFpcE5QYTJMSG9Gd0dyMXNXVlJRTjB4c1A2UEZxZ0Z2eHVhV3JXMHJG,2017-02,1.92146231,image_107,12
image_108,47.6091435,-122.3428407,CAoSLEFGMVFpcFB6eUlWX2pVdFR6aGpPMVZmYl9fd1V3U3ItSWJSN0ZkSnQ3RTNk,2021-04,2.22337983,image_108,5
image_109,47.618587,-122.3520553,ZwOQDRxdWvwOug8_x-XirQ,2021-12,1.31340506,image_109,34
image_110,47.607014,-122.3412345,YL2dDMDVQqEndgVatTUiVw,2021-07,2.57758379,image_110,6
image_111,47.6075674,-122.3340875,O8yCHfcsGyJo2h1CZyJoZg,2021-12,1.99529688,image_111,71
image_112,47.6062016,-122.3298918,xSTLYX_9CwZnfnW5jeX2MQ,2023-06,1.59032767,image_112,59
image_113,47.6098712,-122.3377475,CAoSLEFGMVFpcFBEN01jaGxDUFlpUF9CVDhucjJ1WVBOLU1nSHdMU2Q1MlBJZDAy,2018-12,1.1771653,image_113,52
image_114,47.6209823,-122.3569128,1iZE-cLgNAt1ZTNfoQSmFA,2021-07,1.60311138,image_114,27
image_115,47.6157414,-122.3280175,pSnSdns7QkSp2KLQ-wVXDQ,2022-11,1.72664235,image_115,70
image_116,47.6202591,-122.3497072,CAoSLEFGMVFpcE0wc1h4ZmlzbHdOa0VDNDJmSTRoaC1LWC1MM0dleWVNeVBNWTZx,2023-03,2.73698279,image_116,49
image_117,47.6043392,-122.3373055,CAoSLEFGMVFpcE5rSm1hVC1kRzJiN3BDNU9JR2dtYnZvUnpRVTJ2S2xxeUltazlY,2021-11,2.03525466,image_117,27
image_118,47.6196127,-122.3365288,8GfPAKmLJO-4rft6YF4Ouw,2019-05,1.57740336,image_118,44
image_119,47.6162878,-122.3314369,xeAheEZbWmaE5IfyautcnA,2022-11,1.02591418,image_119,46
image_120,47.6139794,-122.339836,-NwHG-MLE2kNS7yWpt7DhA,2019-05,1.95638963,image_120,48
image_121,47.6220568,-122.3485944,adVYIdnolFUFJQjly4czEQ,2021-08,2.44628923,image_121,39
image_122,47.6230801,-122.3370339,Gn-v8E1QtZm0bA_NdA4-GQ,2022-08,0.70386561,image_122,16
image_123,47.6095879,-122.3270405,W_xvADLO3Vbq1Bf1ne7doA,2021-07,2.50425229,image_123,92
image_124,47.618812,-122.3210186,kIjQqlXyH2tckU-yg3cvGQ,2022-11,0.89497972,image_124,101
image_125,47.612352,-122.3431254,GgWpTN1NkT__O3SIh7F_Bg,2021-07,2.60816628,image_125,54
image_126,47.618632,-122.3398133,4LYglbMT_qjqhjlcbL82DQ,2022-08,2.99570989,image_126,28
image_127,47.6224513,-122.3480644,Zj_JftkwKYsKhOLP0gIMUw,2021-12,2.70806913,image_127,43
image_128,47.6098985,-122.3306058,2qwlJijWzBpLPx7WxGF57A,2021-04,1.64902139,image_128,68
image_129,47.617281,-122.3391642,FGBguE0-zt_vcW1AuZapOA,2021-12,1.07535542,image_129,27
image_130,47.6161177,-122.3382523,r9C4K4NGcArLViHt04MrVA,2021-07,-0.008843,image_130,30
image_131,47.6050917,-122.3258526,w7KzoCft7gp186rTR61wWQ,2023-05,2.98963248,image_131,83
image_132,47.6161884,-122.3335279,-cqNcEz5J27IRuzHO2aksg,2021-12,1.58675161,image_132,45
image_133,47.6175003,-122.3377816,fTIgTkx-Uiva5h6PlAllkw,2019-05,2.38740218,image_133,25
image_134,47.617784,-122.324629,uhCjT_ls6uwCnKi7Vre7Jw,2022-10,1.85850902,image_134,87
image_135,47.623047,-122.3337219,jiIPdUHCik2q4wLAAZaFiQ,2021-07,2.23419149,image_135,28
image_136,47.6126971,-122.3309768,SRFzgs-RzknMVYmZ5Rp_LQ,2021-12,2.58611646,image_136,66
image_137,47.6120308,-122.3358811,CAoSLEFGMVFpcFBoSnpLd0dVTnVoNFRjaGhNT2xkNHR1amRPdEc5MlhtU0lNNlUy,2016-01,3.13680207,image_137,59
image_138,47.6178828,-122.3444995,kltkctSa-z57AH99H6qYjA,2021-07,1.21874339,image_138,49
image_139,47.5982672,-122.3236565,AuocgTzMNRk4jFNATFlgMQ,2021-07,-0.12159855,image_139,25
image_140,47.6121526,-122.318235,CfSO_HGifEGOb2vYVilBfw,2021-12,1.72123566,image_140,92
image_141,47.6144603,-122.3406607,Iaqj2f0Syub1Wnt-lZ8CrA,2021-12,1.08769028,image_141,48
image_142,47.6197305,-122.3566229,Aetpky1_R1z57qG3a-sfNg,2021-06,2.37325946,image_142,24
image_143,47.6219138,-122.3210672,BqOm39iroFAz4O8JUglWUA,2018-05,2.06087704,image_143,106
image_144,47.6044372,-122.3195209,C9XJ-gOJ7Q2QMS8gwmwpbQ,2019-05,1.39845036,image_144,102
image_145,47.618628,-122.3422114,5AJvvD2YhulK2BK6Da1uqA,2022-08,1.27692222,image_145,31
image_146,47.6139983,-122.3267391,d7pVBHbB34F_v2pK_zOsLw,2019-05,1.15165194,image_146,82
image_147,47.6207647,-122.3373099,yLtfJg55SBJw9ftO3YYQqQ,2021-08,2.32729505,image_147,23
image_148,47.6219834,-122.343876,flQuVUoxzmqnFoCKtsZmWw,2021-07,2.67783291,image_148,28
image_149,47.6195906,-122.3295414,sR7BRAKNVy1gRuLh4XiMZw,2021-11,2.5655782,image_149,46
image_150,47.6219084,-122.3336475,rUmrgQfYDuABk8aSQv04Eg,2021-07,0.45079125,image_150,29
image_151,47.61167,-122.3470798,wUbnL9TRkU5XOq41x4XH6A,2017-09,2.52820619,image_151,21
image_152,47.5990601,-122.3250048,pJ-OeEvOoAOiuVGZ1qsmKw,2021-07,2.03536822,image_152,19
image_153,47.6053103,-122.3228745,FF3wvEvRAwk3uPeSZib3eg,2021-11,1.64546657,image_153,103
image_154,47.6140917,-122.3273509,dpQxyEw206K2Qg6L4jUOIA,2021-12,-0.17229918,image_154,82
image_155,47.619235,-122.3330009,LkXEiJ5_PDDB6eiz5EUUbw,2021-07,2.42812663,image_155,38
image_156,47.6208465,-122.3529469,7R1AHUTscnhzvow2GREgpg,2022-09,2.9322244,image_156,40
image_157,47.6186362,-122.3358871,6zNsOHQhY9b4SL6Gl8GSNQ,2021-08,2.17381406,image_157,34
image_158,47.6102353,-122.3207488,JKz9WHb6Zzv6dvgmDpNbDw,2022-11,2.94787773,image_158,110
image_159,47.61009,-122.3462542,akcS44-EtWOcH49MPzXa_w,2021-07,1.54570306,image_159,1
image_160,47.6159408,-122.3407344,cHwlPpX1nrlLKYel6dTkWw,2021-07,2.24215722,image_160,43
image_161,47.6079764,-122.3188624,t-WywCpYzOHwdNSQmlLAjg,2022-08,1.66517781,image_161,102
image_162,47.6157978,-122.3524071,Xv53b1Is_BBoEziu5xm-gw,2021-07,1.10137967,image_162,16
image_163,47.6156732,-122.3343549,C9bFxAwc4YvnOlxauaeNEg,2021-08,1.52983935,image_163,39
image_164,47.6124023,-122.331191,ZJ4UkZb4L20RVne3tAtGeA,2021-04,0.07971693,image_164,75
image_165,47.6179893,-122.3407049,O883z1qTRU2ATwlzscUxjA,2019-05,-0.01767078,image_165,34
image_166,47.6106409,-122.3323381,0wJroHkIbRJYYJ_2SKTKjw,2021-04,0.0653088,image_166,69
image_167,47.6145996,-122.3426342,HNcGxOh4uDbLuf5L1aVQJg,2017-08,2.59075307,image_167,50
image_168,47.6152393,-122.3498405,arlQk6dkcadyk5rUEGnUrw,2021-12,1.47130299,image_168,31
image_169,47.6056065,-122.332316,Lqnj0YhM6F3z7fSVCEn0LQ,2021-12,0.35708245,image_169,56
image_170,47.6197574,-122.3486558,NHtm-OJBI7m8gKW0vDRE-Q,2021-07,1.33789936,image_170,45
image_171,47.6045978,-122.3268253,T-5h92tJ1MvcFfuU0tmn9Q,2023-02,0.58587018,image_171,71
image_172,47.6219866,-122.3189417,8Dpfa22acIp8MNeFmqYOgg,2021-07,2.3455063,image_172,104
image_173,47.618146,-122.3309907,Dz5aNdFdSbZqMXJ4FT-65g,2021-08,2.11642078,image_173,45
image_174,47.6050502,-122.3257351,wb6q0wt2YghGkBv6dpBixA,2017-07,1.17654503,image_174,87
image_175,47.6185365,-122.3579175,CAoSLEFGMVFpcFBNR0hTTm1EV1RzVkU2LW5vdldkX2lVRVJud2hrMFNKS0xKM2xh,2021-07,2.83584803,image_175,10
image_176,47.6109314,-122.3184134,EKbwuCHfYQpCnr53oSLa-A,2022-08,2.35831377,image_176,100
image_177,47.6175285,-122.3207045,Ht31oqG2l-67N9PBWlXbFQ,2021-07,1.6417527,image_177,104
image_178,47.6231674,-122.3409452,9_LA8vVpLWJrZupanCA5vQ,2021-08,1.68946704,image_178,22
image_179,47.6121826,-122.3387952,cEqXpP5wZM6gCLgSwMaQhw,2021-12,1.95129444,image_179,58
image_180,47.6184447,-122.3448604,kOH4vHHS8JnzrffJa3ahYQ,2021-07,1.05805361,image_180,38
image_181,47.6184261,-122.3280253,KaHc02ZNI3g_IySuPpducg,2023-05,-0.10228494,image_181,55
image_182,47.5984368,-122.3189861,eS6TFVUCS-BxSwdMuBJ6Fg,2021-12,2.23108768,image_182,44
image_183,47.6150255,-122.3354106,DN2arsLrTFrGOM0cnISK3g,2021-12,1.99465513,image_183,31
image_184,47.6050574,-122.3212207,ufTogeXH0eHl6X3MysoZHg,2023-02,2.30765829,image_184,105
image_185,47.6224521,-122.3482199,8zLVxnm9s6iffjNJ8-Fzfg,2021-12,2.52898949,image_185,43
image_186,47.6026401,-122.3195414,3xjSyA7_HKYo77j8gRTluQ,2021-07,2.21236689,image_186,92
image_187,47.6089357,-122.3399339,CAoSLEFGMVFpcE9WRTZKQmg4RFN2M1Z0ek9RZjE2bnVkRk0xbF9nWHdaVFVBd3BE,2016-08,3.05049317,image_187,34
image_188,47.60529,-122.3290572,F-8Xq2bAcyifGNkiofGFLA,2023-06,2.31986219,image_188,41
image_189,47.6064872,-122.3272695,oxyoI2DxeR6yQfbCacJk0w,2021-07,1.67661926,image_189,75
image_190,47.6103625,-122.3366864,CAoSLEFGMVFpcE9ldmhfRm5Sd1B6LWZXMUM1MDZGbTFpaURYcktJR0FSdkVGbjVQ,2022-04,1.74965609,image_190,70
image_191,47.6092824,-122.3391212,UeoFZioALnYn9VfV_g9X0w,2021-12,0.788904,image_191,48
image_192,47.5991639,-122.3335504,fnPL0PZ-wpZzysrX-S4zKA,2022-09,0.51478934,image_192,18
image_193,47.6171468,-122.3486877,CAoSLEFGMVFpcE5tVTZ1OGxNeEstTHQ0bkp1UzVTci1EemNkbGh3Y0dWTEM4SFBG,2013-10,1.06748467,image_193,36
image_194,47.6034465,-122.320903,qbwzDO0-89BHKqweWLV38g,2019-05,2.50430263,image_194,97
image_195,47.5976184,-122.3225786,NOZASkllquyPrDxkh0QGiQ,2021-07,1.85523531,image_195,29
image_196,47.6015062,-122.3224854,dahoSNOYgJGoSAC2KRakAg,2019-05,2.40416586,image_196,65
image_197,47.6232023,-122.330438,TU5-1LEpIGs6hBBG3VjRjQ,2021-07,2.21073916,image_197,34
image_198,47.6089561,-122.3305353,_hrgkX_KP4HJR5X4vAbiBg,2021-07,1.96693923,image_198,65
image_199,47.6063467,-122.3344626,CAoSLEFGMVFpcE1yVWxCZFBPMzR5T29OT21kUVlMTHNRbkVlemZZTG9WXzZxU1Ry,2023-07,2.35357934,image_199,54
image_200,47.6076239,-122.3221938,D0CNF68NPtj0QMH131xHEg,2021-11,1.67015144,image_200,112
image_201,47.6029815,-122.3341911,g9RmhFzmHnfQ9oli9y2NLA,2017-09,1.42867683,image_201,18
image_202,47.6071711,-122.3352674,CAoSLEFGMVFpcE9mdDNIT0EyMmRLVWFtOHRzMllTU012R1NPMzJrWmoydHpsdHk2,2017-04,1.37107257,image_202,50
image_203,47.6197285,-122.3569146,nPeO-ewbrqeW0ui9rt7_3Q,2021-06,1.53384622,image_203,18
image_204,47.6104423,-122.3435789,x8FP0ybEZfXOx2A0VRxxPg,2022-09,1.81663583,image_204,26
image_205,47.5989242,-122.3303533,vGbCbnbBgrJYUntHQeTLrQ,2016-10,2.43651424,image_205,13
image_206,47.6219394,-122.3252403,-JxGRBgC16I9zu-YkgFHXg,2021-11,1.33019079,image_206,84
image_207,47.6201845,-122.349511,CAoSLEFGMVFpcE9KbjM4elpwVVZGbDl4VVJXandiVldGOFVmcWd5OHctbkVZX2hk,2018-02,2.65107302,image_207,49
image_208,47.6231258,-122.3383357,8WA37pZt91bllJhA-ZufZg,2021-11,2.13404038,image_208,17
image_209,47.6133251,-122.3407239,cvCFqx4taDaoP4nbNskkIw,2021-07,-0.31818655,image_209,48
image_210,47.6050085,-122.3332959,wvb9rXjnlusTYFqa1H46Aw,2021-12,1.07311835,image_210,51
image_211,47.6175136,-122.3438123,K6OTAtzRfmm6Fj8yJlTC5g,2022-12,2.15123343,image_211,44
image_212,47.6055884,-122.3234293,MvyfjtskzR9QiX0uaK-z6A,2021-07,1.34255246,image_212,101
image_213,47.6076343,-122.3314051,CAoSLEFGMVFpcE9CVjY2bVI0WTR6LU5FWDNwZFZGSzJyeHUxc2pPSUJiWVVLQWVs,2023-07,1.7614066,image_213,72
image_214,47.6026992,-122.3243185,vgcXqsWVdfMXHVYKQ3bbcg,2019-05,3.87504396,image_214,75
image_215,47.6221085,-122.3567311,BTUQtKJ-sQUYCsOn7XkERw,2021-06,2.27688868,image_215,34
image_216,47.6118219,-122.3213726,TuAZ4-90AAhGV7lnHyw0_A,2021-07,2.80585832,image_216,106
image_217,47.6031375,-122.330386,0JKKoCwZvr1CD61oOW5nAg,2021-12,2.48332034,image_217,38
image_218,47.6092105,-122.3325635,7FnbB9035DQQzfp2NnR9Qg,2021-04,1.28398717,image_218,80
image_219,47.6208232,-122.3464683,nZe0pFphhXUB_24uugY35g,2021-07,1.06928736,image_219,34
image_220,47.6095698,-122.341737,CAoSLEFGMVFpcFBMUFdZdTR6Yi1MV0NSNElBU2xHMDlXeFVvSDNJcjVRQ2Y0dk5o,2017-08,3.09332092,image_220,24
image_221,47.6153302,-122.323378,cNrgb44DwZR-hWOhmcrYSg,2021-07,1.88703291,image_221,87
image_222,47.6028122,-122.3313219,IvUzG6C_UjkXkFck5gPSZg,2021-12,-0.16970254,image_222,37
image_223,47.601694,-122.3205205,fLF4otJpdZixl9_kTYtDbA,2021-07,1.67869766,image_223,77
image_224,47.6150251,-122.3442358,H4XN-IjAEmS86VrW-GuD1w,2019-08,1.19558288,image_224,39
image_225,47.6202114,-122.3551624,qmLulUV3wq32DfXfLMJzTw,2021-08,1.14432998,image_225,28
image_226,47.6118821,-122.3484275,CAoSLEFGMVFpcE5hZTU0cjZmRlpjNVowUzRPWmRGZWl5SmJrdEl0bFA2SlQ2TUxZ,2017-12,2.64881642,image_226,12
image_227,47.6180862,-122.3385856,pauktBtbhamr_liwPki4xg,2022-08,2.1783095,image_227,28
