ImageID,Latitude,Longitude,OpenAI Score,Walkability Rating
image_3720,47.6208916,-122.3423661,5,Moderately walkable
image_3723,47.5976096,-122.3294627,2,Not at all walkable
image_3725,47.6070881,-122.3208158,7,Very walkable
image_3726,47.6017585,-122.3224843,4,Moderately walkable
image_3727,47.6056655,-122.3384924,7,Very walkable
image_3728,47.6159446,-122.3224444,2,Not at all walkable
image_3729,47.6163185,-122.3256114,3,Slightly walkable
image_3731,47.6176599,-122.3500367,5,Moderately walkable
image_3732,47.6219363,-122.3189736,4,Slightly walkable
image_3733,47.621089,-122.3521982,8,Very walkable
image_3734,47.6229918,-122.3539978,5,Moderately walkable
image_3735,47.5991397,-122.3231112,5,Moderately walkable
image_3736,47.5984358,-122.3249475,7,Very walkable
image_3738,47.6028642,-122.335946,4,Moderately walkable
image_3739,47.618366,-122.3497297,2,Not at all walkable
image_3740,47.6161909,-122.3427489,5,Moderately walkable
image_3741,47.6146511,-122.3402805,6,Moderately walkable
image_3742,47.6196818,-122.3474774,5,Moderately walkable
image_3743,47.6186876,-122.319483,3,Slightly walkable
image_3744,47.6242451,-122.342761,2,Not at all walkable
image_3745,47.6185922,-122.3503333,5,Moderately walkable
image_3746,47.6183573,-122.3400705,5,Moderately walkable
image_3747,47.6204107,-122.3498254,1,Not at all walkable
image_3748,47.6231311,-122.33366,5,Moderately walkable
image_3749,47.6220937,-122.3342212,8,Very walkable
image_3750,47.6140283,-122.3261794,6,Moderately walkable
image_3751,47.6234204,-122.3489752,1,Not at all walkable
image_3752,47.6084895,-122.3422672,2,Not at all walkable
image_3753,47.6170247,-122.3328256,8,Very walkable
image_3754,47.6078035,-122.337382,5,Moderately walkable
image_3755,47.6184361,-122.3279836,5,Moderately walkable
image_3756,47.6050137,-122.3305333,6,Moderately walkable
image_3757,47.6124204,-122.3314318,5,Moderately walkable
image_3759,47.6055661,-122.3270776,4,Slightly walkable
image_3761,47.6060305,-122.3375963,4,Moderately walkable
image_3762,47.609576,-122.3307242,2,Not at all walkable
image_3763,47.607836,-122.3276907,3,Slightly walkable
image_3764,47.6053707,-122.3396377,8,Very walkable
image_3765,47.6014736,-122.3275513,4,Moderately walkable
image_3766,47.6219226,-122.3210837,8,Very walkable
image_3767,47.6025859,-122.3297031,5,Moderately walkable
image_3768,47.6177946,-122.3498521,5,Moderately walkable
image_3769,47.6152366,-122.3419733,6,Moderately walkable
image_3770,47.6118125,-122.3484293,7,Very walkable
image_3771,47.6140568,-122.3516501,5,Moderately walkable
image_3772,47.6142019,-122.3267493,6,Moderately walkable
image_3773,47.6109391,-122.3475006,6,Moderately walkable
image_3774,47.6045497,-122.3368643,5,Moderately walkable
image_3775,47.6219284,-122.3188398,6,Moderately walkable
image_3776,47.6078422,-122.3285517,6,Moderately walkable
image_3777,47.6197666,-122.3248432,5,Moderately walkable
image_3778,47.616347,-122.3184641,7,Very walkable
image_3779,47.6170454,-122.357138,2,Not at all walkable
image_3780,47.6130298,-122.3193241,8,Very walkable
image_3781,47.6233018,-122.340939,8,Very walkable
image_3782,47.6238178,-122.3567157,5,Moderately walkable
image_3783,47.613575,-122.3322239,8,Very walkable
image_3784,47.6132355,-122.3362786,7,Very walkable
image_3786,47.6117703,-122.3415707,10,Extremely walkable
image_3787,47.6173773,-122.331994,2,Not at all walkable
image_3788,47.617362,-122.3321821,2,Not at all walkable
image_3789,47.608906,-122.3432416,1,Not at all walkable
image_3790,47.6050648,-122.3257492,5,Moderately walkable
image_3791,47.6217292,-122.3423614,5,Moderately walkable
image_3793,47.6110249,-122.3236986,9,Extremely walkable
image_3794,47.6154536,-122.3380255,8,Very walkable
image_3795,47.6071109,-122.3207281,8,Very walkable
image_3796,47.621991,-122.3477767,7,Very walkable
image_3797,47.6004412,-122.3356456,4,Moderately walkable
image_3798,47.6166055,-122.3380423,9,Extremely walkable
image_3800,47.6047102,-122.3179724,4,Slightly walkable
image_3802,47.6103665,-122.3235353,3,Slightly walkable
image_3803,47.6231395,-122.3370665,9,Extremely walkable
image_3804,47.6019255,-122.3299685,2,Not at all walkable
image_3807,47.6059425,-122.3311138,8,Very walkable
image_3808,47.6176456,-122.338865,2,Not at all walkable
image_3809,47.5990762,-122.3262659,8,Very walkable
image_3810,47.6188007,-122.3182354,6,Moderately walkable
image_3812,47.6185783,-122.3579316,3,Slightly walkable
image_3813,47.619652,-122.3235172,4,Moderately walkable
image_3814,47.6098559,-122.3212716,6,Moderately walkable
image_3815,47.6117217,-122.3194457,4,Slightly walkable
image_3817,47.6164214,-122.319733,10,Extremely walkable
image_3818,47.6112764,-122.3255216,8,Very walkable
image_3819,47.6079285,-122.3418861,1,Not at all walkable
image_3820,47.6230385,-122.3341913,8,Very walkable
image_3821,47.6082744,-122.3347442,8,Very walkable
image_3822,47.6211453,-122.354614,7,Very walkable
image_3823,47.6176268,-122.3196289,10,Extremely walkable
image_3824,47.6158789,-122.3398891,9,Extremely walkable
image_3825,47.618501,-122.3188858,6,Moderately walkable
image_3826,47.605652,-122.3384762,8,Very walkable
image_3828,47.6142062,-122.3361148,8,Very walkable
image_3829,47.6003601,-122.3244079,2,Not at all walkable
image_3831,47.6025844,-122.336851,8,Very walkable
image_3832,47.6220255,-122.3231211,4,Slightly walkable
image_3833,47.6183904,-122.3310403,7,Very walkable
image_3835,47.6056699,-122.3339275,5,Moderately walkable
image_3836,47.5983496,-122.319778,5,Moderately walkable
image_3837,47.6195763,-122.3253894,5,Moderately walkable
image_3838,47.6177194,-122.3385954,8,Very walkable
image_3839,47.6130576,-122.336386,7,Very walkable
image_3840,47.6181934,-122.3547058,5,Moderately walkable
image_3841,47.612554,-122.3525304,4,Slightly walkable
image_3842,47.618649,-122.3451943,8,Very walkable
image_3843,47.6196461,-122.3412166,3,Slightly walkable
image_3844,47.6198073,-122.3451882,5,Moderately walkable
image_3846,47.6210068,-122.3412193,8,Very walkable
image_3848,47.6071887,-122.3340738,8,Very walkable
image_3849,47.6136152,-122.3551129,4,Slightly walkable
image_3850,47.6109684,-122.3259686,6,Moderately walkable
image_3851,47.6114053,-122.3463631,1,Not at all walkable
image_3852,47.5992423,-122.3295902,5,Moderately walkable
image_3853,47.6058192,-122.3295208,2,Not at all walkable
image_3854,47.6093043,-122.3436594,1,Not at all walkable
image_3855,47.6171335,-122.3506517,7,Very walkable
image_3856,47.6218865,-122.3482521,2,Not at all walkable
image_3858,47.617028,-122.350546,8,Very walkable
image_3859,47.6136504,-122.3418477,8,Very walkable
image_3860,47.6177261,-122.3536976,7,Very walkable
image_3861,47.6095347,-122.3414507,5,Moderately walkable
image_3863,47.5976015,-122.326273,6,Moderately walkable
image_3864,47.6069674,-122.3278951,6,Moderately walkable
image_3865,47.6165978,-122.3529218,3,Slightly walkable
image_3866,47.6134286,-122.3503919,7,Very walkable
image_3868,47.6183198,-122.3491867,7,Very walkable
image_3869,47.6159508,-122.3278103,3,Slightly walkable
image_3870,47.6028001,-122.3315773,5,Moderately walkable
image_3872,47.6134717,-122.3488527,7,Very walkable
image_3873,47.6147817,-122.3517986,4,Slightly walkable
image_3874,47.6167791,-122.3444472,5,Moderately walkable
image_3875,47.6022354,-122.3216846,9,Extremely walkable
image_3876,47.6125192,-122.3221448,7,Very walkable
image_3877,47.6210623,-122.3265045,2,Not at all walkable
image_3879,47.6183564,-122.3494135,1,Not at all walkable
image_3880,47.5966653,-122.3222633,3,Slightly walkable
image_3881,47.6160122,-122.3238744,2,Not at all walkable
image_3882,47.6047271,-122.3209155,5,Moderately walkable
image_3883,47.6120609,-122.323152,7,Very walkable
image_3884,47.6219692,-122.3438567,5,Moderately walkable
image_3885,47.597339,-122.3217897,3,Slightly walkable
image_3887,47.6094675,-122.3208112,7,Very walkable
image_3890,47.6020369,-122.319673,2,Not at all walkable
image_3891,47.611685,-122.3195334,5,Moderately walkable
image_3892,47.6032854,-122.3343918,2,Not at all walkable
image_3893,47.623037,-122.3560046,2,Not at all walkable
image_3894,47.6151134,-122.331753,2,Not at all walkable
image_3896,47.6208939,-122.3336463,5,Moderately walkable
image_3897,47.5982999,-122.330761,5,Moderately walkable
image_3898,47.6220251,-122.3553532,3,Slightly walkable
image_3899,47.6162981,-122.3553036,3,Slightly walkable
image_3900,47.6196882,-122.359008,2,Not at all walkable
image_3901,47.6169535,-122.3239125,1,Not at all walkable
image_3903,47.6221329,-122.3372052,7,Very walkable
image_3904,47.620866,-122.3305209,8,Very walkable
image_3905,47.5984416,-122.3249936,6,Moderately walkable
image_3906,47.6111517,-122.3344825,8,Very walkable
image_3907,47.6210392,-122.3324215,7,Very walkable
image_3908,47.6083025,-122.3273857,5,Moderately walkable
image_3909,47.6208795,-122.3386421,8,Very walkable
image_3910,47.6033666,-122.3302644,6,Moderately walkable
image_3911,47.6147605,-122.3448979,9,Extremely walkable
image_3912,47.6067129,-122.3364311,5,Moderately walkable
image_3913,47.6098003,-122.32877,5,Moderately walkable
image_3914,47.6109409,-122.3312742,1,Not at all walkable
image_3915,47.621122,-122.3515755,7,Very walkable
image_3916,47.6064598,-122.3210634,5,Moderately walkable
image_3917,47.5966166,-122.32365,5,Moderately walkable
image_3918,47.6137494,-122.3330297,1,Not at all walkable
image_3920,47.6076061,-122.3220185,7,Very walkable
image_3921,47.616192,-122.3312869,5,Moderately walkable
image_3922,47.5999853,-122.329014,6,Moderately walkable
image_3923,47.6234643,-122.3487725,5,Moderately walkable
image_3924,47.6219647,-122.3410447,9,Extremely walkable
image_3925,47.6034853,-122.336825,3,Slightly walkable
image_3926,47.6166958,-122.3422208,7,Very walkable
image_3927,47.6154119,-122.3477576,8,Very walkable
image_3928,47.6169265,-122.326899,6,Moderately walkable
image_3929,47.6019167,-122.3182176,3,Slightly walkable
image_3930,47.6036135,-122.3319851,5,Moderately walkable
image_3931,47.6066704,-122.3386066,3,Slightly walkable
image_3932,47.6181644,-122.3487676,5,Moderately walkable
image_3933,47.6223548,-122.354812,8,Very walkable
image_3934,47.6136437,-122.3320142,2,Not at all walkable
image_3935,47.6159799,-122.3518939,2,Not at all walkable
image_3936,47.6163096,-122.3233537,7,Very walkable
image_3937,47.6137074,-122.3461046,7,Very walkable
image_3938,47.6087362,-122.339902,9,Extremely walkable
image_3939,47.6025639,-122.3267164,1,Not at all walkable
image_3940,47.6086667,-122.3209773,3,Slightly walkable
image_3941,47.6017417,-122.3201135,8,Very walkable
image_3942,47.6134736,-122.3488301,7,Very walkable
image_3944,47.5992376,-122.3340249,6,Moderately walkable
image_3945,47.6021247,-122.3387956,2,Not at all walkable
image_3947,47.6016523,-122.320099,8,Very walkable
image_3948,47.6118681,-122.3277069,3,Slightly walkable
image_3952,47.6116088,-122.341777,7,Very walkable
image_3953,47.5982722,-122.3223916,5,Moderately walkable
image_3954,47.6162752,-122.3537667,2,Not at all walkable
image_3956,47.598877,-122.3263698,3,Slightly walkable
image_3957,47.6181423,-122.3196001,9,Extremely walkable
image_3958,47.6171811,-122.3318226,2,Not at all walkable
image_3959,47.6063685,-122.339311,7,Very walkable
image_3960,47.6025429,-122.3298249,6,Moderately walkable
image_3961,47.6221023,-122.3344693,7,Very walkable
image_3963,47.6008221,-122.3288619,7,Very walkable
image_3964,47.6193649,-122.3500597,8,Very walkable
image_3965,47.6009275,-122.319529,5,Moderately walkable
image_3966,47.618583,-122.3487922,5,Moderately walkable
image_3967,47.6109707,-122.3474918,8,Very walkable
image_3968,47.6088266,-122.3260871,5,Moderately walkable
image_3970,47.6209092,-122.3437828,8,Very walkable
image_3971,47.6186464,-122.3443483,5,Moderately walkable
image_3972,47.6169416,-122.3523067,5,Moderately walkable
image_3973,47.6186622,-122.3500593,5,Moderately walkable
image_3974,47.6182609,-122.3308515,8,Very walkable
image_3975,47.6153388,-122.321186,9,Extremely walkable
image_3976,47.6195707,-122.3264765,8,Very walkable
image_3977,47.6052076,-122.3375555,7,Very walkable
image_3978,47.6026341,-122.3208625,9,Extremely walkable
image_3979,47.6080326,-122.3209978,7,Very walkable
image_3980,47.6045743,-122.3344038,8,Very walkable
image_3981,47.6037428,-122.3293581,5,Moderately walkable
image_3982,47.6037851,-122.3369313,5,Moderately walkable
image_3983,47.6126358,-122.3513995,2,Not at all walkable
image_3984,47.6128716,-122.3474576,3,Slightly walkable
image_3985,47.6141511,-122.3496414,6,Moderately walkable
image_3986,47.610551,-122.3356655,8,Very walkable
image_3987,47.6091379,-122.3311417,3,Slightly walkable
image_3988,47.599077,-122.3194959,5,Moderately walkable
image_3989,47.6155766,-122.3544594,5,Moderately walkable
image_3990,47.6151424,-122.3245478,7,Very walkable
image_3991,47.6188087,-122.3203325,7,Very walkable
image_3992,47.616049,-122.3391111,6,Moderately walkable
image_3993,47.6160099,-122.3341213,4,Slightly walkable
image_3994,47.6039663,-122.3281952,2,Not at all walkable
image_3995,47.6188115,-122.3207201,8,Very walkable
image_3996,47.6184763,-122.3509851,7,Very walkable
image_3997,47.6231798,-122.3477454,8,Very walkable
image_3998,47.6209845,-122.3323585,5,Moderately walkable
image_3999,47.6050528,-122.3382443,3,Slightly walkable
image_4000,47.617554,-122.3317631,4,Moderately walkable
image_4001,47.6103377,-122.3260564,8,Very walkable
image_4003,47.6115333,-122.3248457,5,Moderately walkable
image_4004,47.5994783,-122.3366878,1,Not at all walkable
image_4005,47.6064707,-122.3209009,3,Slightly walkable
image_4006,47.6132535,-122.3504642,4,Moderately walkable
image_4007,47.6148552,-122.3333291,7,Very walkable
image_4008,47.6122485,-122.3198374,4,Slightly walkable
image_4009,47.5990303,-122.3302714,1,Not at all walkable
image_4010,47.618718,-122.3568801,8,Very walkable
image_4011,47.6141589,-122.3361315,8,Very walkable
image_4012,47.6215803,-122.3290406,1,Not at all walkable
image_4013,47.6163482,-122.3517551,8,Very walkable
image_4014,47.6206318,-122.3222268,5,Moderately walkable
image_4015,47.6106845,-122.3485773,2,Not at all walkable
image_4016,47.6066507,-122.3242972,8,Very walkable
image_4017,47.6044532,-122.335766,8,Very walkable
image_4018,47.6157931,-122.3269358,1,Not at all walkable
image_4019,47.6151366,-122.35167,7,Very walkable
image_4020,47.6185862,-122.3566191,5,Moderately walkable
image_4021,47.607136,-122.3306751,1,Not at all walkable
image_4022,47.6209015,-122.3527363,7,Very walkable
image_4023,47.6050552,-122.3351742,8,Very walkable
image_4025,47.5991245,-122.3223376,5,Moderately walkable
image_4026,47.5980378,-122.3354361,2,Not at all walkable
image_4027,47.6000899,-122.3288398,6,Moderately walkable
image_4028,47.6010382,-122.3214611,8,Very walkable
image_4029,47.6141742,-122.3261499,7,Very walkable
image_4030,47.6099166,-122.3432273,8,Very walkable
image_4032,47.6070687,-122.34125,9,Extremely walkable
image_4033,47.6207338,-122.3189463,1,Not at all walkable
image_4035,47.5991939,-122.3258432,4,Moderately walkable
image_4038,47.6210112,-122.3553929,2,Not at all walkable
image_4039,47.5971267,-122.3193817,2,Not at all walkable
image_4040,47.6143734,-122.3385147,8,Very walkable
image_4041,47.6118043,-122.3206896,5,Moderately walkable
image_4042,47.6171124,-122.318517,9,Extremely walkable
image_4043,47.6188489,-122.3525867,2,Not at all walkable
image_4044,47.6107477,-122.3182603,8,Very walkable
image_4045,47.6137304,-122.3462198,8,Very walkable
image_4047,47.5996196,-122.3302275,8,Very walkable
image_4048,47.6140486,-122.3235243,8,Very walkable
image_4049,47.6216837,-122.3516967,9,Extremely walkable
image_4051,47.6015956,-122.3194731,6,Moderately walkable
image_4053,47.6094366,-122.3416465,4,Slightly walkable
image_4054,47.6000698,-122.3199127,2,Not at all walkable
image_4055,47.6220415,-122.3265921,3,Slightly walkable
image_4056,47.6161384,-122.3430149,8,Very walkable
image_4057,47.6140012,-122.3194517,6,Moderately walkable
image_4058,47.6160416,-122.3296261,1,Not at all walkable
image_4060,47.6065281,-122.3221943,2,Not at all walkable
image_4061,47.6021951,-122.3224843,2,Not at all walkable
image_4063,47.6231993,-122.3253144,5,Moderately walkable
image_4064,47.6001158,-122.3283217,5,Moderately walkable
image_4065,47.6043118,-122.3253605,2,Not at all walkable
image_4066,47.610241,-122.3459835,5,Moderately walkable
image_4067,47.6000301,-122.326362,6,Moderately walkable
image_4068,47.6148633,-122.3376973,8,Very walkable
image_4069,47.611516,-122.3224429,5,Moderately walkable
image_4071,47.6185631,-122.3435864,8,Very walkable
image_4072,47.6177689,-122.3539794,5,Moderately walkable
image_4073,47.6173644,-122.3587733,8,Very walkable
image_4074,47.6170292,-122.3370452,8,Very walkable
image_4075,47.5985966,-122.3304895,2,Not at all walkable
image_4076,47.6015856,-122.3302173,8,Very walkable
image_4077,47.6045755,-122.331631,5,Moderately walkable
image_4078,47.6112621,-122.3208156,7,Very walkable
image_4079,47.6087223,-122.3315551,5,Moderately walkable
image_4080,47.6209872,-122.3326357,6,Moderately walkable
image_4081,47.60812,-122.3191714,8,Very walkable
image_4082,47.6148279,-122.3353071,7,Very walkable
image_4083,47.6148364,-122.344802,8,Very walkable
image_4084,47.619627,-122.343946,8,Very walkable
image_4085,47.6024321,-122.3309562,7,Very walkable
image_4086,47.610474,-122.3436909,6,Moderately walkable
image_4087,47.6198487,-122.3548456,4,Slightly walkable
image_4089,47.6134235,-122.3372866,3,Slightly walkable
image_4090,47.6114282,-122.327239,5,Moderately walkable
image_4092,47.6033438,-122.3274692,2,Not at all walkable
image_4093,47.6032138,-122.3350682,7,Very walkable
image_4095,47.5997811,-122.3348397,2,Not at all walkable
image_4096,47.6178038,-122.3561691,2,Not at all walkable
image_4097,47.6102855,-122.3433916,8,Very walkable
image_4098,47.6208694,-122.3477664,8,Very walkable
image_4099,47.618808,-122.3210334,8,Very walkable
image_4100,47.6014175,-122.3294092,5,Moderately walkable
image_4101,47.6230902,-122.3198721,5,Moderately walkable
image_4102,47.6205654,-122.3508954,8,Very walkable
image_4103,47.6155694,-122.3306757,6,Moderately walkable
image_4104,47.5990856,-122.3297424,8,Very walkable
image_4105,47.6096401,-122.3433398,8,Very walkable
image_4106,47.6140628,-122.327907,6,Moderately walkable
image_4107,47.6183186,-122.3356911,2,Not at all walkable
image_4108,47.6242354,-122.3254159,8,Very walkable
image_4109,47.607141,-122.3325506,1,Not at all walkable
image_4110,47.6046148,-122.3388292,5,Moderately walkable
image_4111,47.6139513,-122.3279421,8,Very walkable
image_4112,47.6135399,-122.3180389,8,Very walkable
image_4113,47.6187581,-122.3231138,5,Moderately walkable
image_4114,47.6008904,-122.335467,2,Not at all walkable
image_4115,47.6084823,-122.3304942,2,Not at all walkable
image_4116,47.5966034,-122.3264477,7,Very walkable
image_4117,47.6231957,-122.3555565,6,Moderately walkable
image_4118,47.6199825,-122.321563,5,Moderately walkable
image_4119,47.604899,-122.3285792,5,Moderately walkable
image_4120,47.6065637,-122.3270856,6,Moderately walkable
image_4121,47.6023991,-122.3217331,2,Not at all walkable
image_4122,47.6139981,-122.324463,8,Very walkable
image_4123,47.6094299,-122.3259978,3,Slightly walkable
image_4124,47.6099955,-122.322484,2,Not at all walkable
image_4125,47.6231311,-122.3259447,2,Not at all walkable
image_4126,47.6018132,-122.3241615,2,Not at all walkable
image_4127,47.6126247,-122.3430506,1,Not at all walkable
image_4128,47.6045973,-122.3209545,5,Moderately walkable
image_4129,47.615616,-122.3344308,8,Very walkable
image_4130,47.6187327,-122.3519558,2,Not at all walkable
image_4131,47.6095686,-122.3347087,8,Very walkable
image_4132,47.6157629,-122.343595,5,Moderately walkable
image_4133,47.602409,-122.3375917,10,Extremely walkable
image_4134,47.6053522,-122.3353092,8,Very walkable
image_4135,47.6102701,-122.3396662,8,Very walkable
image_4136,47.6185756,-122.327883,4,Moderately walkable
image_4137,47.5990944,-122.3225955,2,Not at all walkable
image_4138,47.6184526,-122.3300912,1,Not at all walkable
image_4139,47.6185292,-122.3494091,8,Very walkable
image_4140,47.6115782,-122.3371953,10,Extremely walkable
image_4141,47.6230799,-122.3292937,4,Slightly walkable
image_4142,47.6050305,-122.3380195,6,Moderately walkable
image_4143,47.6184875,-122.3474838,8,Very walkable
image_4144,47.6229509,-122.3278259,2,Not at all walkable
image_4145,47.6073442,-122.324998,1,Not at all walkable
image_4146,47.6125226,-122.327912,5,Moderately walkable
image_4147,47.6006448,-122.3206738,1,Not at all walkable
image_4148,47.60613,-122.3181857,3,Slightly walkable
image_4150,47.5993121,-122.3287686,5,Moderately walkable
image_4151,47.6039521,-122.3283213,2,Not at all walkable
image_4152,47.6201333,-122.3490555,9,Extremely walkable
image_4153,47.6001072,-122.3264771,4,Moderately walkable
image_4154,47.6209216,-122.352581,3,Slightly walkable
image_4155,47.5991995,-122.3276749,9,Extremely walkable
image_4156,47.6017861,-122.321442,6,Moderately walkable
image_4157,47.6086138,-122.324317,6,Moderately walkable
image_4158,47.6219513,-122.3240605,3,Slightly walkable
image_4159,47.5967539,-122.3223693,5,Moderately walkable
image_4160,47.6153188,-122.3256494,7,Very walkable
image_4161,47.6091234,-122.3232942,7,Very walkable
image_4163,47.6079216,-122.3190686,4,Slightly walkable
image_4164,47.6138425,-122.3411529,8,Very walkable
image_4165,47.6128747,-122.319857,6,Moderately walkable
image_4166,47.6220424,-122.3265279,4,Moderately walkable
image_4167,47.6025987,-122.32216,2,Not at all walkable
image_4168,47.6207942,-122.3240148,3,Slightly walkable
image_4169,47.6001216,-122.327771,2,Not at all walkable
image_4171,47.6125253,-122.3524488,2,Not at all walkable
image_4172,47.6184642,-122.3399512,6,Moderately walkable
image_4173,47.6185012,-122.3477847,5,Moderately walkable
image_4174,47.6210118,-122.3554514,2,Not at all walkable
image_4175,47.600823,-122.334837,2,Not at all walkable
image_4176,47.608311,-122.3349768,9,Extremely walkable
image_4177,47.6130612,-122.322013,7,Very walkable
image_4178,47.6193276,-122.3325493,6,Moderately walkable
image_4179,47.6139753,-122.3457453,8,Very walkable
image_4180,47.6219732,-122.3275798,2,Not at all walkable
image_4181,47.621159,-122.3198206,3,Slightly walkable
image_4182,47.6198237,-122.3499846,10,Extremely walkable
image_4183,47.599569,-122.3297882,7,Very walkable
image_4185,47.6016608,-122.3359214,6,Moderately walkable
image_4186,47.6016389,-122.3236691,5,Moderately walkable
image_4187,47.6119232,-122.3260592,7,Very walkable
image_4188,47.5991723,-122.322343,5,Moderately walkable
image_4189,47.6221347,-122.3372437,6,Moderately walkable
image_4190,47.6151751,-122.354985,8,Very walkable
image_4192,47.609087,-122.3235227,7,Very walkable
image_4193,47.621016,-122.3222324,5,Moderately walkable
image_4194,47.6220351,-122.330438,2,Not at all walkable
image_4195,47.6221009,-122.3513542,10,Extremely walkable
image_4196,47.6163647,-122.3255019,2,Not at all walkable
image_4197,47.6214581,-122.3327124,4,Moderately walkable
image_4199,47.6126864,-122.352273,2,Not at all walkable
image_4200,47.6073075,-122.340869,1,Not at all walkable
image_4201,47.6044389,-122.318006,5,Moderately walkable
image_4202,47.6142588,-122.3361982,8,Very walkable
image_4203,47.6064866,-122.3209812,5,Moderately walkable
image_4204,47.6096634,-122.3316394,1,Not at all walkable
image_4205,47.6053875,-122.3307741,8,Very walkable
image_4206,47.610468,-122.3292443,5,Moderately walkable
image_4207,47.6231727,-122.3240417,8,Very walkable
image_4209,47.618639,-122.3234215,4,Moderately walkable
image_4210,47.6132015,-122.3363742,3,Slightly walkable
image_4211,47.6151495,-122.3209486,7,Very walkable
image_4212,47.6068007,-122.3353014,7,Very walkable
image_4213,47.6172596,-122.3414376,8,Very walkable
image_4214,47.59931,-122.3238736,6,Moderately walkable
image_4215,47.6198881,-122.3367408,2,Not at all walkable
image_4216,47.6184119,-122.3241001,2,Not at all walkable
image_4217,47.6184378,-122.3350507,3,Slightly walkable
image_4218,47.6185618,-122.3364665,1,Not at all walkable
image_4219,47.6065911,-122.3271165,4,Moderately walkable
image_4220,47.6167329,-122.3577848,8,Very walkable
image_4221,47.623591,-122.3489735,2,Not at all walkable
image_4222,47.6112831,-122.3448228,4,Moderately walkable
image_4223,47.6100443,-122.3209656,9,Extremely walkable
image_4224,47.6153673,-122.320729,8,Very walkable
image_4225,47.6121296,-122.3194941,2,Not at all walkable
image_4226,47.6232117,-122.3445674,1,Not at all walkable
image_4227,47.6030163,-122.3287028,5,Moderately walkable
image_4228,47.6010092,-122.3217234,8,Very walkable
image_4230,47.6175041,-122.3413458,5,Moderately walkable
image_4231,47.6132767,-122.3504252,2,Not at all walkable
image_4232,47.6028319,-122.3382622,1,Not at all walkable
image_4233,47.6233672,-122.3579596,7,Very walkable
image_4234,47.6021484,-122.3295252,4,Moderately walkable
image_4235,47.6105385,-122.3246427,8,Very walkable
image_4236,47.5968804,-122.3333656,2,Not at all walkable
image_4237,47.6160092,-122.3220522,4,Slightly walkable
image_4238,47.6012385,-122.3222239,5,Moderately walkable
image_4239,47.6076222,-122.331373,7,Very walkable
image_4240,47.5990429,-122.3225669,2,Not at all walkable
image_4242,47.621452,-122.3551934,1,Not at all walkable
image_4243,47.6104766,-122.3295788,1,Not at all walkable
image_4246,47.6017368,-122.3341257,8,Very walkable
image_4247,47.6143265,-122.3538285,5,Moderately walkable
image_4248,47.6198453,-122.354273,4,Moderately walkable
image_4249,47.6111666,-122.3471192,1,Not at all walkable
image_4250,47.6005103,-122.3264839,2,Not at all walkable
image_4251,47.6185067,-122.3241137,5,Moderately walkable
image_4252,47.6064187,-122.3272171,1,Not at all walkable
image_4253,47.61526,-122.3202393,6,Moderately walkable
image_4254,47.6102201,-122.3337619,7,Very walkable
image_4256,47.610201,-122.3325128,1,Not at all walkable
image_4257,47.6062572,-122.3223127,5,Moderately walkable
image_4258,47.6213017,-122.351708,3,Slightly walkable
image_4259,47.6091203,-122.3235151,6,Moderately walkable
image_4260,47.6125779,-122.3308052,1,Not at all walkable
image_4261,47.6192767,-122.3560984,1,Not at all walkable
